finance_measure,formula,result
SE-RETAINED - Total Funds,,616044.1
SE-RETAINED - Retained Ratio,228 / 1724 = ,0.1323
SE-RETAINED - Active Ratio,96 / 228 = ,0.4211
SE-RETAINED - Total No of Fundraisers (current campaign),,1568
SE-RETURNING - No of Returning Frs before previous campaign,,212
SE-RETURNING - No of Active Fundraisers,,37
SE-RETURNING - APAM (Active),125565.69 / 37 = ,3393.67
SE-RETURNING - Total Funds,,125565.69
SE-RETURNING - Active Ratio,37 / 212 = ,0.1745
SE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1355
SE-TOTAL INDIVIDUALS - Total Active Fundraisers,,286
SE-TOTAL INDIVIDUALS - Total Funds Raised,,957313.63
SE-TEAM - No of Teams,,92
SE-TEAM - ATDD,534648.73 / 92 = ,5811.4
SE-TEAM - Total Funds,,534648.73
SE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1447
SE-TOTAL PEER 2 PEER - Total Funds Raised,,1656515.46
CH-FOUNDATION & RG - No of Donations,,244
CH-FOUNDATION & RG - ADA,43359.42 / 244 = ,177.7
CH-FOUNDATION & RG - Total Funds,,43359.42
CH-NEW - No of New Fundraisers (previous campaign),,1889
CH-NEW - No of Active Fundraisers,,579
CH-NEW - APAM (Active),579 / 84829.27 = ,146.51
CH-NEW - Total Funds,,84829.27
CH-NEW - Active Ratio,579 / 1889 = ,0.3065
CH-RETAINED - No of Fundraisers (previous campaign),,3846
CH-RETAINED - Total Retained from Previous into Current,,762
CH-RETAINED - No of Active Fundraisers,,407
CH-RETAINED - APAM (Active),149590.67 / 407 = ,367.54
CH-RETAINED - Total Funds,,149590.67
CH-RETAINED - Retained Ratio,762 / 3846 = ,0.1981
CH-RETAINED - Active Ratio,407 / 762 = ,0.5341
CH-RETAINED - Total No of Fundraisers (current campaign),,3414
CH-RETURNING - No of Returning Frs before previous campaign,,304
CH-RETURNING - No of Active Fundraisers,,120
CH-RETURNING - APAM (Active),24232.05 / 120 = ,201.93
CH-RETURNING - Total Funds,,24232.05
CH-RETURNING - Active Ratio,120 / 304 = ,0.3947
CH-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2955
CH-TOTAL INDIVIDUALS - Total Active Fundraisers,,1106
CH-TOTAL INDIVIDUALS - Total Funds Raised,,258651.99
CH-TEAM - No of Teams,,199
CH-TEAM - ATDD,132791.55 / 199 = ,667.29
CH-TEAM - Total Funds,,132791.55
CH-TOTAL PEER 2 PEER - Total Number of Fundraisers,,3154
CH-TOTAL PEER 2 PEER - Total Funds Raised,,434802.96
HK-FOUNDATION & RG - No of Donations,,84
HK-FOUNDATION & RG - ADA,82420.0 / 84 = ,981.19
HK-FOUNDATION & RG - Total Funds,,82420.0
HK-NEW - No of New Fundraisers (previous campaign),,639
HK-NEW - No of Active Fundraisers,,213
HK-NEW - APAM (Active),213 / 826938.0 = ,3882.34
HK-NEW - Total Funds,,826938.0
HK-NEW - Active Ratio,213 / 639 = ,0.3333
HK-RETAINED - No of Fundraisers (previous campaign),,945
HK-RETAINED - Total Retained from Previous into Current,,221
HK-RETAINED - No of Active Fundraisers,,119
HK-RETAINED - APAM (Active),793293.0 / 119 = ,6666.33
HK-RETAINED - Total Funds,,793293.0
HK-RETAINED - Retained Ratio,221 / 945 = ,0.2339
HK-RETAINED - Active Ratio,119 / 221 = ,0.5385
HK-RETAINED - Total No of Fundraisers (current campaign),,1114
HK-RETURNING - No of Returning Frs before previous campaign,,138
HK-RETURNING - No of Active Fundraisers,,77
HK-RETURNING - APAM (Active),482516.0 / 77 = ,6266.44
HK-RETURNING - Total Funds,,482516.0
HK-RETURNING - Active Ratio,77 / 138 = ,0.558
HK-TOTAL INDIVIDUALS - Total Number of Fundraisers,,998
HK-TOTAL INDIVIDUALS - Total Active Fundraisers,,409
HK-TOTAL INDIVIDUALS - Total Funds Raised,,2102747.0
HK-TEAM - No of Teams,,62
HK-TEAM - ATDD,704213.0 / 62 = ,11358.27
HK-TEAM - Total Funds,,704213.0
HK-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1060
HK-TOTAL PEER 2 PEER - Total Funds Raised,,2889380.0
EX-FOUNDATION & RG - No of Donations,,428
EX-FOUNDATION & RG - ADA,21446.42 / 428 = ,50.11
EX-FOUNDATION & RG - Total Funds,,21446.42
EX-NEW - No of New Fundraisers (previous campaign),,4100
EX-NEW - No of Active Fundraisers,,571
EX-NEW - APAM (Active),571 / 116704.1 = ,204.39
EX-NEW - Total Funds,,116704.1
EX-NEW - Active Ratio,571 / 4100 = ,0.1393
EX-RETAINED - No of Fundraisers (previous campaign),,5664
EX-RETAINED - Total Retained from Previous into Current,,678
EX-RETAINED - No of Active Fundraisers,,176
EX-RETAINED - APAM (Active),60831.19 / 176 = ,345.63
EX-RETAINED - Total Funds,,60831.19
EX-RETAINED - Retained Ratio,678 / 5664 = ,0.1197
EX-RETAINED - Active Ratio,176 / 678 = ,0.2596
EX-RETAINED - Total No of Fundraisers (current campaign),,5879
EX-RETURNING - No of Returning Frs before previous campaign,,422
EX-RETURNING - No of Active Fundraisers,,85
EX-RETURNING - APAM (Active),18457.02 / 85 = ,217.14
EX-RETURNING - Total Funds,,18457.02
EX-RETURNING - Active Ratio,85 / 422 = ,0.2014
EX-TOTAL INDIVIDUALS - Total Number of Fundraisers,,5200
EX-TOTAL INDIVIDUALS - Total Active Fundraisers,,832
EX-TOTAL INDIVIDUALS - Total Funds Raised,,195992.31
EX-TEAM - No of Teams,,206
EX-TEAM - ATDD,77298.61 / 206 = ,375.24
EX-TEAM - Total Funds,,77298.61
EX-TOTAL PEER 2 PEER - Total Number of Fundraisers,,5406
EX-TOTAL PEER 2 PEER - Total Funds Raised,,294737.34
SG-FOUNDATION & RG - No of Donations,,61
SG-FOUNDATION & RG - ADA,9290.0 / 61 = ,152.3
SG-FOUNDATION & RG - Total Funds,,9290.0
SG-NEW - No of New Fundraisers (previous campaign),,590
SG-NEW - No of Active Fundraisers,,171
SG-NEW - APAM (Active),171 / 117001.11 = ,684.22
SG-NEW - Total Funds,,117001.11
SG-NEW - Active Ratio,171 / 590 = ,0.2898
SG-RETAINED - No of Fundraisers (previous campaign),,1563
SG-RETAINED - Total Retained from Previous into Current,,196
SG-RETAINED - No of Active Fundraisers,,109
SG-RETAINED - APAM (Active),71058.58 / 109 = ,651.91
SG-RETAINED - Total Funds,,71058.58
SG-RETAINED - Retained Ratio,196 / 1563 = ,0.1254
SG-RETAINED - Active Ratio,109 / 196 = ,0.5561
SG-RETAINED - Total No of Fundraisers (current campaign),,996
SG-RETURNING - No of Returning Frs before previous campaign,,77
SG-RETURNING - No of Active Fundraisers,,30
SG-RETURNING - APAM (Active),10060.21 / 30 = ,335.34
SG-RETURNING - Total Funds,,10060.21
SG-RETURNING - Active Ratio,30 / 77 = ,0.3896
SG-TOTAL INDIVIDUALS - Total Number of Fundraisers,,863
SG-TOTAL INDIVIDUALS - Total Active Fundraisers,,310
SG-TOTAL INDIVIDUALS - Total Funds Raised,,198119.9
SG-TEAM - No of Teams,,49
SG-TEAM - ATDD,46250.54 / 49 = ,943.89
SG-TEAM - Total Funds,,46250.54
SG-TOTAL PEER 2 PEER - Total Number of Fundraisers,,912
SG-TOTAL PEER 2 PEER - Total Funds Raised,,253660.44
ZA-FOUNDATION & RG - No of Donations,,0
ZA-FOUNDATION & RG - ADA,0.0 / 0 = ,0.0
ZA-FOUNDATION & RG - Total Funds,,0.0
ZA-NEW - No of New Fundraisers (previous campaign),,35
ZA-NEW - No of Active Fundraisers,,1
ZA-NEW - APAM (Active),1 / 2500.0 = ,2500.0
ZA-NEW - Total Funds,,2500.0
ZA-NEW - Active Ratio,1 / 35 = ,0.0286
ZA-RETAINED - No of Fundraisers (previous campaign),,3405
ZA-RETAINED - Total Retained from Previous into Current,,0
ZA-RETAINED - No of Active Fundraisers,,0
ZA-RETAINED - APAM (Active),0.0 / 0 = ,0.0
ZA-RETAINED - Total Funds,,0.0
ZA-RETAINED - Retained Ratio,0 / 3405 = ,0.0
ZA-RETAINED - Active Ratio,0 / 0 = ,0.0
ZA-RETAINED - Total No of Fundraisers (current campaign),,62
ZA-RETURNING - No of Returning Frs before previous campaign,,3
ZA-RETURNING - No of Active Fundraisers,,0
ZA-RETURNING - APAM (Active),0.0 / 0 = ,0.0
ZA-RETURNING - Total Funds,,0.0
ZA-RETURNING - Active Ratio,0 / 3 = ,0.0
ZA-TOTAL INDIVIDUALS - Total Number of Fundraisers,,38
ZA-TOTAL INDIVIDUALS - Total Active Fundraisers,,1
ZA-TOTAL INDIVIDUALS - Total Funds Raised,,2500.0
ZA-TEAM - No of Teams,,0
ZA-TEAM - ATDD,0.0 / 0 = ,0.0
ZA-TEAM - Total Funds,,0.0
ZA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,38
ZA-TOTAL PEER 2 PEER - Total Funds Raised,,2500.0
