finance_measure,formula,result
NO-RETAINED - Total Funds,,679602.17
NO-RETAINED - Retained Ratio,396 / 2210 = ,0.1792
NO-RETAINED - Active Ratio,202 / 396 = ,0.5101
NO-RETAINED - Total No of Fundraisers (current campaign),,2061
NO-RETURNING - No of Returning Frs before previous campaign,,437
NO-RETURNING - No of Active Fundraisers,,118
NO-RETURNING - APAM (Active),204359.74 / 118 = ,1731.86
NO-RETURNING - Total Funds,,204359.74
NO-RETURNING - Active Ratio,118 / 437 = ,0.27
NO-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2061
NO-TOTAL INDIVIDUALS - Total Active Fundraisers,,628
NO-TOTAL INDIVIDUALS - Total Funds Raised,,1278621.96
NO-TEAM - No of Teams,,123
NO-TEAM - ATDD,511993.23 / 123 = ,4162.55
NO-TEAM - Total Funds,,511993.23
NO-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2061
NO-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,628
NO-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,123
NO-TOTAL PEER 2 PEER - Total Number of Active Entities,,751
NO-TOTAL PEER 2 PEER - Total Funds Raised,,1924978.89
ES-FOUNDATION & RG - No of Donations,,666
ES-FOUNDATION & RG - ADA,36477.91 / 666 = ,54.77
ES-FOUNDATION & RG - Total Funds,,36477.91
ES-NEW - No of New Fundraisers (previous campaign),,3880
ES-NEW - No of Active Fundraisers,,632
ES-NEW - APAM (Active),632 / 41498.9 = ,65.66
ES-NEW - Total Funds,,41498.9
ES-NEW - Active Ratio,632 / 3880 = ,0.1629
ES-RETAINED - No of Fundraisers (previous campaign),,5628
ES-RETAINED - Total Retained from Previous into Current,,1506
ES-RETAINED - No of Active Fundraisers,,673
ES-RETAINED - APAM (Active),103202.15 / 673 = ,153.35
ES-RETAINED - Total Funds,,103202.15
ES-RETAINED - Retained Ratio,1506 / 5628 = ,0.2676
ES-RETAINED - Active Ratio,673 / 1506 = ,0.4469
ES-RETAINED - Total No of Fundraisers (current campaign),,6017
ES-RETURNING - No of Returning Frs before previous campaign,,631
ES-RETURNING - No of Active Fundraisers,,181
ES-RETURNING - APAM (Active),18860.82 / 181 = ,104.2
ES-RETURNING - Total Funds,,18860.82
ES-RETURNING - Active Ratio,181 / 631 = ,0.2868
ES-TOTAL INDIVIDUALS - Total Number of Fundraisers,,6017
ES-TOTAL INDIVIDUALS - Total Active Fundraisers,,1486
ES-TOTAL INDIVIDUALS - Total Funds Raised,,163561.87
ES-TEAM - No of Teams,,281
ES-TEAM - ATDD,108615.94 / 281 = ,386.53
ES-TEAM - Total Funds,,108615.94
ES-TOTAL PEER 2 PEER - Total Number of Fundraisers,,6017
ES-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1486
ES-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,281
ES-TOTAL PEER 2 PEER - Total Number of Active Entities,,1767
ES-TOTAL PEER 2 PEER - Total Funds Raised,,308655.72
SE-FOUNDATION & RG - No of Donations,,284
SE-FOUNDATION & RG - ADA,127029.43 / 284 = ,447.29
SE-FOUNDATION & RG - Total Funds,,127029.43
SE-NEW - No of New Fundraisers (previous campaign),,1394
SE-NEW - No of Active Fundraisers,,265
SE-NEW - APAM (Active),265 / 213411.74 = ,805.33
SE-NEW - Total Funds,,213411.74
SE-NEW - Active Ratio,265 / 1394 = ,0.1901
SE-RETAINED - No of Fundraisers (previous campaign),,2596
SE-RETAINED - Total Retained from Previous into Current,,427
SE-RETAINED - No of Active Fundraisers,,152
SE-RETAINED - APAM (Active),685965.27 / 152 = ,4512.93
SE-RETAINED - Total Funds,,685965.27
SE-RETAINED - Retained Ratio,427 / 2596 = ,0.1645
SE-RETAINED - Active Ratio,152 / 427 = ,0.356
SE-RETAINED - Total No of Fundraisers (current campaign),,2153
SE-RETURNING - No of Returning Frs before previous campaign,,332
SE-RETURNING - No of Active Fundraisers,,88
SE-RETURNING - APAM (Active),151656.3 / 88 = ,1723.37
SE-RETURNING - Total Funds,,151656.3
SE-RETURNING - Active Ratio,88 / 332 = ,0.2651
SE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2153
SE-TOTAL INDIVIDUALS - Total Active Fundraisers,,505
SE-TOTAL INDIVIDUALS - Total Funds Raised,,1051033.31
SE-TEAM - No of Teams,,158
SE-TEAM - ATDD,1052736.28 / 158 = ,6662.89
SE-TEAM - Total Funds,,1052736.28
SE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2153
SE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,505
SE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,158
SE-TOTAL PEER 2 PEER - Total Number of Active Entities,,663
SE-TOTAL PEER 2 PEER - Total Funds Raised,,2230799.02
CH-FOUNDATION & RG - No of Donations,,223
CH-FOUNDATION & RG - ADA,36315.61 / 223 = ,162.85
CH-FOUNDATION & RG - Total Funds,,36315.61
CH-NEW - No of New Fundraisers (previous campaign),,1715
CH-NEW - No of Active Fundraisers,,548
CH-NEW - APAM (Active),548 / 91250.32 = ,166.52
CH-NEW - Total Funds,,91250.32
CH-NEW - Active Ratio,548 / 1715 = ,0.3195
CH-RETAINED - No of Fundraisers (previous campaign),,2433
CH-RETAINED - Total Retained from Previous into Current,,595
CH-RETAINED - No of Active Fundraisers,,344
CH-RETAINED - APAM (Active),116860.42 / 344 = ,339.71
CH-RETAINED - Total Funds,,116860.42
CH-RETAINED - Retained Ratio,595 / 2433 = ,0.2446
CH-RETAINED - Active Ratio,344 / 595 = ,0.5782
CH-RETAINED - Total No of Fundraisers (current campaign),,2624
CH-RETURNING - No of Returning Frs before previous campaign,,314
CH-RETURNING - No of Active Fundraisers,,103
CH-RETURNING - APAM (Active),41044.47 / 103 = ,398.49
CH-RETURNING - Total Funds,,41044.47
CH-RETURNING - Active Ratio,103 / 314 = ,0.328
CH-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2624
CH-TOTAL INDIVIDUALS - Total Active Fundraisers,,995
CH-TOTAL INDIVIDUALS - Total Funds Raised,,249155.21
CH-TEAM - No of Teams,,197
CH-TEAM - ATDD,99348.92 / 197 = ,504.31
CH-TEAM - Total Funds,,99348.92
CH-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2624
CH-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,995
CH-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,197
CH-TOTAL PEER 2 PEER - Total Number of Active Entities,,1192
CH-TOTAL PEER 2 PEER - Total Funds Raised,,384819.74
HK-FOUNDATION & RG - No of Donations,,42
HK-FOUNDATION & RG - ADA,14620.0 / 42 = ,348.1
HK-FOUNDATION & RG - Total Funds,,14620.0
HK-NEW - No of New Fundraisers (previous campaign),,576
HK-NEW - No of Active Fundraisers,,254
HK-NEW - APAM (Active),254 / 626006.33 = ,2464.59
HK-NEW - Total Funds,,626006.33
HK-NEW - Active Ratio,254 / 576 = ,0.441
HK-RETAINED - No of Fundraisers (previous campaign),,657
HK-RETAINED - Total Retained from Previous into Current,,148
HK-RETAINED - No of Active Fundraisers,,79
HK-RETAINED - APAM (Active),507947.0 / 79 = ,6429.71
HK-RETAINED - Total Funds,,507947.0
HK-RETAINED - Retained Ratio,148 / 657 = ,0.2253
HK-RETAINED - Active Ratio,79 / 148 = ,0.5338
HK-RETAINED - Total No of Fundraisers (current campaign),,814
HK-RETURNING - No of Returning Frs before previous campaign,,90
HK-RETURNING - No of Active Fundraisers,,48
HK-RETURNING - APAM (Active),167347.85 / 48 = ,3486.41
HK-RETURNING - Total Funds,,167347.85
HK-RETURNING - Active Ratio,48 / 90 = ,0.5333
HK-TOTAL INDIVIDUALS - Total Number of Fundraisers,,814
HK-TOTAL INDIVIDUALS - Total Active Fundraisers,,381
HK-TOTAL INDIVIDUALS - Total Funds Raised,,1301301.18
HK-TEAM - No of Teams,,70
HK-TEAM - ATDD,707286.65 / 70 = ,10104.1
HK-TEAM - Total Funds,,707286.65
HK-TOTAL PEER 2 PEER - Total Number of Fundraisers,,814
HK-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,381
HK-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,70
HK-TOTAL PEER 2 PEER - Total Number of Active Entities,,451
HK-TOTAL PEER 2 PEER - Total Funds Raised,,2023207.83
EX-FOUNDATION & RG - No of Donations,,1596
EX-FOUNDATION & RG - ADA,33699.88 / 1596 = ,21.12
EX-FOUNDATION & RG - Total Funds,,33699.88
EX-NEW - No of New Fundraisers (previous campaign),,4626
EX-NEW - No of Active Fundraisers,,643
EX-NEW - APAM (Active),643 / 89503.16 = ,139.2
EX-NEW - Total Funds,,89503.16
EX-NEW - Active Ratio,643 / 4626 = ,0.139
EX-RETAINED - No of Fundraisers (previous campaign),,4834
EX-RETAINED - Total Retained from Previous into Current,,612
EX-RETAINED - No of Active Fundraisers,,182
EX-RETAINED - APAM (Active),44175.65 / 182 = ,242.72
EX-RETAINED - Total Funds,,44175.65
EX-RETAINED - Retained Ratio,612 / 4834 = ,0.1266
EX-RETAINED - Active Ratio,182 / 612 = ,0.2974
EX-RETAINED - Total No of Fundraisers (current campaign),,5636
EX-RETURNING - No of Returning Frs before previous campaign,,398
EX-RETURNING - No of Active Fundraisers,,94
EX-RETURNING - APAM (Active),61672.0 / 94 = ,656.09
EX-RETURNING - Total Funds,,61672.0
EX-RETURNING - Active Ratio,94 / 398 = ,0.2362
EX-TOTAL INDIVIDUALS - Total Number of Fundraisers,,5636
EX-TOTAL INDIVIDUALS - Total Active Fundraisers,,919
EX-TOTAL INDIVIDUALS - Total Funds Raised,,195350.81
EX-TEAM - No of Teams,,196
EX-TEAM - ATDD,52335.87 / 196 = ,267.02
EX-TEAM - Total Funds,,52335.87
EX-TOTAL PEER 2 PEER - Total Number of Fundraisers,,5636
EX-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,919
EX-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,196
EX-TOTAL PEER 2 PEER - Total Number of Active Entities,,1115
EX-TOTAL PEER 2 PEER - Total Funds Raised,,281386.56
SG-FOUNDATION & RG - No of Donations,,134
SG-FOUNDATION & RG - ADA,5623.88 / 134 = ,41.97
SG-FOUNDATION & RG - Total Funds,,5623.88
SG-NEW - No of New Fundraisers (previous campaign),,734
SG-NEW - No of Active Fundraisers,,298
SG-NEW - APAM (Active),298 / 124209.24 = ,416.81
SG-NEW - Total Funds,,124209.24
SG-NEW - Active Ratio,298 / 734 = ,0.406
SG-RETAINED - No of Fundraisers (previous campaign),,934
SG-RETAINED - Total Retained from Previous into Current,,204
SG-RETAINED - No of Active Fundraisers,,137
SG-RETAINED - APAM (Active),87867.51 / 137 = ,641.37
SG-RETAINED - Total Funds,,87867.51
SG-RETAINED - Retained Ratio,204 / 934 = ,0.2184
SG-RETAINED - Active Ratio,137 / 204 = ,0.6716
SG-RETAINED - Total No of Fundraisers (current campaign),,1057
SG-RETURNING - No of Returning Frs before previous campaign,,119
SG-RETURNING - No of Active Fundraisers,,58
SG-RETURNING - APAM (Active),29820.82 / 58 = ,514.15
SG-RETURNING - Total Funds,,29820.82
SG-RETURNING - Active Ratio,58 / 119 = ,0.4874
SG-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1057
SG-TOTAL INDIVIDUALS - Total Active Fundraisers,,493
SG-TOTAL INDIVIDUALS - Total Funds Raised,,241897.57
SG-TEAM - No of Teams,,85
SG-TEAM - ATDD,106781.68 / 85 = ,1256.26
SG-TEAM - Total Funds,,106781.68
SG-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1057
SG-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,493
SG-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,85
SG-TOTAL PEER 2 PEER - Total Number of Active Entities,,578
SG-TOTAL PEER 2 PEER - Total Funds Raised,,354303.13
ZA-FOUNDATION & RG - No of Donations,,227
ZA-FOUNDATION & RG - ADA,129731.39 / 227 = ,571.5
ZA-FOUNDATION & RG - Total Funds,,129731.39
ZA-NEW - No of New Fundraisers (previous campaign),,3163
ZA-NEW - No of Active Fundraisers,,559
ZA-NEW - APAM (Active),559 / 655191.01 = ,1172.08
ZA-NEW - Total Funds,,655191.01
ZA-NEW - Active Ratio,559 / 3163 = ,0.1767
ZA-RETAINED - No of Fundraisers (previous campaign),,4839
ZA-RETAINED - Total Retained from Previous into Current,,672
ZA-RETAINED - No of Active Fundraisers,,274
ZA-RETAINED - APAM (Active),1117073.04 / 274 = ,4076.91
ZA-RETAINED - Total Funds,,1117073.04
ZA-RETAINED - Retained Ratio,672 / 4839 = ,0.1389
ZA-RETAINED - Active Ratio,274 / 672 = ,0.4077
ZA-RETAINED - Total No of Fundraisers (current campaign),,4680
ZA-RETURNING - No of Returning Frs before previous campaign,,845
ZA-RETURNING - No of Active Fundraisers,,176
ZA-RETURNING - APAM (Active),199007.22 / 176 = ,1130.72
ZA-RETURNING - Total Funds,,199007.22
ZA-RETURNING - Active Ratio,176 / 845 = ,0.2083
ZA-TOTAL INDIVIDUALS - Total Number of Fundraisers,,4680
ZA-TOTAL INDIVIDUALS - Total Active Fundraisers,,1009
ZA-TOTAL INDIVIDUALS - Total Funds Raised,,1971271.27
ZA-TEAM - No of Teams,,216
ZA-TEAM - ATDD,581817.65 / 216 = ,2693.6
ZA-TEAM - Total Funds,,581817.65
ZA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,4680
ZA-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1009
ZA-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,216
ZA-TOTAL PEER 2 PEER - Total Number of Active Entities,,1225
ZA-TOTAL PEER 2 PEER - Total Funds Raised,,2682820.31
