finance_measure,formula,result
NO-RETAINED - Total Funds,,1151435.25
NO-RETAINED - Retained Ratio,897 / 4812 = ,0.1864
NO-RETAINED - Active Ratio,505 / 897 = ,0.563
NO-RETAINED - Total No of Fundraisers (current campaign),,3276
NO-RETURNING - No of Returning Frs before previous campaign,,789
NO-RETURNING - No of Active Fundraisers,,323
NO-RETURNING - APAM (Active),367364.87 / 323 = ,1137.35
NO-RETURNING - Total Funds,,367364.87
NO-RETURNING - Active Ratio,323 / 789 = ,0.4094
NO-TOTAL INDIVIDUALS - Total Number of Fundraisers,,3276
NO-TOTAL INDIVIDUALS - Total Active Fundraisers,,1691
NO-TOTAL INDIVIDUALS - Total Funds Raised,,2432973.3
NO-TEAM - No of Teams,,73
NO-TEAM - ATDD,116317.5 / 73 = ,1593.39
NO-TEAM - Total Funds,,116317.5
NO-TOTAL PEER 2 PEER - Total Number of Fundraisers,,3276
NO-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1691
NO-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,73
NO-TOTAL PEER 2 PEER - Total Number of Active Entities,,1764
NO-TOTAL PEER 2 PEER - Total Funds Raised,,2776638.34
ES-FOUNDATION & RG - No of Donations,,532
ES-FOUNDATION & RG - ADA,32238.59 / 532 = ,60.6
ES-FOUNDATION & RG - Total Funds,,32238.59
ES-NEW - No of New Fundraisers (previous campaign),,3590
ES-NEW - No of Active Fundraisers,,1418
ES-NEW - APAM (Active),1418 / 98336.36 = ,69.35
ES-NEW - Total Funds,,98336.36
ES-NEW - Active Ratio,1418 / 3590 = ,0.395
ES-RETAINED - No of Fundraisers (previous campaign),,6610
ES-RETAINED - Total Retained from Previous into Current,,1685
ES-RETAINED - No of Active Fundraisers,,1069
ES-RETAINED - APAM (Active),121831.79 / 1069 = ,113.97
ES-RETAINED - Total Funds,,121831.79
ES-RETAINED - Retained Ratio,1685 / 6610 = ,0.2549
ES-RETAINED - Active Ratio,1069 / 1685 = ,0.6344
ES-RETAINED - Total No of Fundraisers (current campaign),,6060
ES-RETURNING - No of Returning Frs before previous campaign,,785
ES-RETURNING - No of Active Fundraisers,,264
ES-RETURNING - APAM (Active),17540.95 / 264 = ,66.44
ES-RETURNING - Total Funds,,17540.95
ES-RETURNING - Active Ratio,264 / 785 = ,0.3363
ES-TOTAL INDIVIDUALS - Total Number of Fundraisers,,6060
ES-TOTAL INDIVIDUALS - Total Active Fundraisers,,2751
ES-TOTAL INDIVIDUALS - Total Funds Raised,,237709.1
ES-TEAM - No of Teams,,184
ES-TEAM - ATDD,26592.9 / 184 = ,144.53
ES-TEAM - Total Funds,,26592.9
ES-TOTAL PEER 2 PEER - Total Number of Fundraisers,,6060
ES-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,2751
ES-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,184
ES-TOTAL PEER 2 PEER - Total Number of Active Entities,,2935
ES-TOTAL PEER 2 PEER - Total Funds Raised,,296540.59
SE-FOUNDATION & RG - No of Donations,,392
SE-FOUNDATION & RG - ADA,262938.84 / 392 = ,670.76
SE-FOUNDATION & RG - Total Funds,,262938.84
SE-NEW - No of New Fundraisers (previous campaign),,1990
SE-NEW - No of Active Fundraisers,,1349
SE-NEW - APAM (Active),1349 / 1122935.75 = ,832.42
SE-NEW - Total Funds,,1122935.75
SE-NEW - Active Ratio,1349 / 1990 = ,0.6779
SE-RETAINED - No of Fundraisers (previous campaign),,6147
SE-RETAINED - Total Retained from Previous into Current,,842
SE-RETAINED - No of Active Fundraisers,,650
SE-RETAINED - APAM (Active),1147602.72 / 650 = ,1765.54
SE-RETAINED - Total Funds,,1147602.72
SE-RETAINED - Retained Ratio,842 / 6147 = ,0.137
SE-RETAINED - Active Ratio,650 / 842 = ,0.772
SE-RETAINED - Total No of Fundraisers (current campaign),,3160
SE-RETURNING - No of Returning Frs before previous campaign,,328
SE-RETURNING - No of Active Fundraisers,,168
SE-RETURNING - APAM (Active),157513.3 / 168 = ,937.58
SE-RETURNING - Total Funds,,157513.3
SE-RETURNING - Active Ratio,168 / 328 = ,0.5122
SE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,3160
SE-TOTAL INDIVIDUALS - Total Active Fundraisers,,2167
SE-TOTAL INDIVIDUALS - Total Funds Raised,,2428051.77
SE-TEAM - No of Teams,,138
SE-TEAM - ATDD,650032.0 / 138 = ,4710.38
SE-TEAM - Total Funds,,650032.0
SE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,3160
SE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,2167
SE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,138
SE-TOTAL PEER 2 PEER - Total Number of Active Entities,,2305
SE-TOTAL PEER 2 PEER - Total Funds Raised,,3341022.61
CH-FOUNDATION & RG - No of Donations,,185
CH-FOUNDATION & RG - ADA,41350.12 / 185 = ,223.51
CH-FOUNDATION & RG - Total Funds,,41350.12
CH-NEW - No of New Fundraisers (previous campaign),,1443
CH-NEW - No of Active Fundraisers,,890
CH-NEW - APAM (Active),890 / 150822.33 = ,169.46
CH-NEW - Total Funds,,150822.33
CH-NEW - Active Ratio,890 / 1443 = ,0.6168
CH-RETAINED - No of Fundraisers (previous campaign),,2812
CH-RETAINED - Total Retained from Previous into Current,,688
CH-RETAINED - No of Active Fundraisers,,478
CH-RETAINED - APAM (Active),146386.51 / 478 = ,306.25
CH-RETAINED - Total Funds,,146386.51
CH-RETAINED - Retained Ratio,688 / 2812 = ,0.2447
CH-RETAINED - Active Ratio,478 / 688 = ,0.6948
CH-RETAINED - Total No of Fundraisers (current campaign),,2427
CH-RETURNING - No of Returning Frs before previous campaign,,296
CH-RETURNING - No of Active Fundraisers,,131
CH-RETURNING - APAM (Active),27516.7 / 131 = ,210.05
CH-RETURNING - Total Funds,,27516.7
CH-RETURNING - Active Ratio,131 / 296 = ,0.4426
CH-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2427
CH-TOTAL INDIVIDUALS - Total Active Fundraisers,,1499
CH-TOTAL INDIVIDUALS - Total Funds Raised,,324725.54
CH-TEAM - No of Teams,,88
CH-TEAM - ATDD,15004.1 / 88 = ,170.5
CH-TEAM - Total Funds,,15004.1
CH-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2427
CH-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1499
CH-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,88
CH-TOTAL PEER 2 PEER - Total Number of Active Entities,,1587
CH-TOTAL PEER 2 PEER - Total Funds Raised,,381079.76
HK-FOUNDATION & RG - No of Donations,,62
HK-FOUNDATION & RG - ADA,83231.99 / 62 = ,1342.45
HK-FOUNDATION & RG - Total Funds,,83231.99
HK-NEW - No of New Fundraisers (previous campaign),,380
HK-NEW - No of Active Fundraisers,,244
HK-NEW - APAM (Active),244 / 619025.59 = ,2536.99
HK-NEW - Total Funds,,619025.59
HK-NEW - Active Ratio,244 / 380 = ,0.6421
HK-RETAINED - No of Fundraisers (previous campaign),,879
HK-RETAINED - Total Retained from Previous into Current,,148
HK-RETAINED - No of Active Fundraisers,,111
HK-RETAINED - APAM (Active),517117.62 / 111 = ,4658.72
HK-RETAINED - Total Funds,,517117.62
HK-RETAINED - Retained Ratio,148 / 879 = ,0.1684
HK-RETAINED - Active Ratio,111 / 148 = ,0.75
HK-RETAINED - Total No of Fundraisers (current campaign),,614
HK-RETURNING - No of Returning Frs before previous campaign,,86
HK-RETURNING - No of Active Fundraisers,,36
HK-RETURNING - APAM (Active),359907.94 / 36 = ,9997.44
HK-RETURNING - Total Funds,,359907.94
HK-RETURNING - Active Ratio,36 / 86 = ,0.4186
HK-TOTAL INDIVIDUALS - Total Number of Fundraisers,,614
HK-TOTAL INDIVIDUALS - Total Active Fundraisers,,391
HK-TOTAL INDIVIDUALS - Total Funds Raised,,1496051.15
HK-TEAM - No of Teams,,27
HK-TEAM - ATDD,299593.86 / 27 = ,11096.07
HK-TEAM - Total Funds,,299593.86
HK-TOTAL PEER 2 PEER - Total Number of Fundraisers,,614
HK-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,391
HK-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,27
HK-TOTAL PEER 2 PEER - Total Number of Active Entities,,418
HK-TOTAL PEER 2 PEER - Total Funds Raised,,1878877.0
EX-FOUNDATION & RG - No of Donations,,11521
EX-FOUNDATION & RG - ADA,98547.39 / 11521 = ,8.55
EX-FOUNDATION & RG - Total Funds,,98547.39
EX-NEW - No of New Fundraisers (previous campaign),,3460
EX-NEW - No of Active Fundraisers,,874
EX-NEW - APAM (Active),874 / 73643.13 = ,84.26
EX-NEW - Total Funds,,73643.13
EX-NEW - Active Ratio,874 / 3460 = ,0.2526
EX-RETAINED - No of Fundraisers (previous campaign),,5662
EX-RETAINED - Total Retained from Previous into Current,,862
EX-RETAINED - No of Active Fundraisers,,385
EX-RETAINED - APAM (Active),86484.02 / 385 = ,224.63
EX-RETAINED - Total Funds,,86484.02
EX-RETAINED - Retained Ratio,862 / 5662 = ,0.1522
EX-RETAINED - Active Ratio,385 / 862 = ,0.4466
EX-RETAINED - Total No of Fundraisers (current campaign),,4976
EX-RETURNING - No of Returning Frs before previous campaign,,654
EX-RETURNING - No of Active Fundraisers,,143
EX-RETURNING - APAM (Active),16799.54 / 143 = ,117.48
EX-RETURNING - Total Funds,,16799.54
EX-RETURNING - Active Ratio,143 / 654 = ,0.2187
EX-TOTAL INDIVIDUALS - Total Number of Fundraisers,,4976
EX-TOTAL INDIVIDUALS - Total Active Fundraisers,,1402
EX-TOTAL INDIVIDUALS - Total Funds Raised,,176926.69
EX-TEAM - No of Teams,,74
EX-TEAM - ATDD,8346.16 / 74 = ,112.79
EX-TEAM - Total Funds,,8346.16
EX-TOTAL PEER 2 PEER - Total Number of Fundraisers,,4976
EX-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1402
EX-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,74
EX-TOTAL PEER 2 PEER - Total Number of Active Entities,,1476
EX-TOTAL PEER 2 PEER - Total Funds Raised,,283820.24
SG-FOUNDATION & RG - No of Donations,,460
SG-FOUNDATION & RG - ADA,10688.6 / 460 = ,23.24
SG-FOUNDATION & RG - Total Funds,,10688.6
SG-NEW - No of New Fundraisers (previous campaign),,503
SG-NEW - No of Active Fundraisers,,323
SG-NEW - APAM (Active),323 / 154296.94 = ,477.7
SG-NEW - Total Funds,,154296.94
SG-NEW - Active Ratio,323 / 503 = ,0.6421
SG-RETAINED - No of Fundraisers (previous campaign),,1029
SG-RETAINED - Total Retained from Previous into Current,,174
SG-RETAINED - No of Active Fundraisers,,115
SG-RETAINED - APAM (Active),84262.97 / 115 = ,732.72
SG-RETAINED - Total Funds,,84262.97
SG-RETAINED - Retained Ratio,174 / 1029 = ,0.1691
SG-RETAINED - Active Ratio,115 / 174 = ,0.6609
SG-RETAINED - Total No of Fundraisers (current campaign),,794
SG-RETURNING - No of Returning Frs before previous campaign,,117
SG-RETURNING - No of Active Fundraisers,,54
SG-RETURNING - APAM (Active),34024.71 / 54 = ,630.09
SG-RETURNING - Total Funds,,34024.71
SG-RETURNING - Active Ratio,54 / 117 = ,0.4615
SG-TOTAL INDIVIDUALS - Total Number of Fundraisers,,794
SG-TOTAL INDIVIDUALS - Total Active Fundraisers,,492
SG-TOTAL INDIVIDUALS - Total Funds Raised,,272584.62
SG-TEAM - No of Teams,,38
SG-TEAM - ATDD,25513.51 / 38 = ,671.41
SG-TEAM - Total Funds,,25513.51
SG-TOTAL PEER 2 PEER - Total Number of Fundraisers,,794
SG-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,492
SG-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,38
SG-TOTAL PEER 2 PEER - Total Number of Active Entities,,530
SG-TOTAL PEER 2 PEER - Total Funds Raised,,308786.73
ZA-FOUNDATION & RG - No of Donations,,224
ZA-FOUNDATION & RG - ADA,131893.4 / 224 = ,588.81
ZA-FOUNDATION & RG - Total Funds,,131893.4
ZA-NEW - No of New Fundraisers (previous campaign),,5289
ZA-NEW - No of Active Fundraisers,,1653
ZA-NEW - APAM (Active),1653 / 1037873.38 = ,627.87
ZA-NEW - Total Funds,,1037873.38
ZA-NEW - Active Ratio,1653 / 5289 = ,0.3125
ZA-RETAINED - No of Fundraisers (previous campaign),,10810
ZA-RETAINED - Total Retained from Previous into Current,,1138
ZA-RETAINED - No of Active Fundraisers,,529
ZA-RETAINED - APAM (Active),1166128.38 / 529 = ,2204.4
ZA-RETAINED - Total Funds,,1166128.38
ZA-RETAINED - Retained Ratio,1138 / 10810 = ,0.1053
ZA-RETAINED - Active Ratio,529 / 1138 = ,0.4649
ZA-RETAINED - Total No of Fundraisers (current campaign),,7625
ZA-RETURNING - No of Returning Frs before previous campaign,,1198
ZA-RETURNING - No of Active Fundraisers,,403
ZA-RETURNING - APAM (Active),440498.35 / 403 = ,1093.05
ZA-RETURNING - Total Funds,,440498.35
ZA-RETURNING - Active Ratio,403 / 1198 = ,0.3364
ZA-TOTAL INDIVIDUALS - Total Number of Fundraisers,,7625
ZA-TOTAL INDIVIDUALS - Total Active Fundraisers,,2585
ZA-TOTAL INDIVIDUALS - Total Funds Raised,,2644500.11
ZA-TEAM - No of Teams,,162
ZA-TEAM - ATDD,174797.43 / 162 = ,1079.0
ZA-TEAM - Total Funds,,174797.43
ZA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,7625
ZA-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,2585
ZA-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,162
ZA-TOTAL PEER 2 PEER - Total Number of Active Entities,,2747
ZA-TOTAL PEER 2 PEER - Total Funds Raised,,2951190.94
