finance_measure,formula,result
NO-RETAINED - Total Funds,,612757.62
NO-RETAINED - Retained Ratio,333 / 2061 = ,0.1616
NO-RETAINED - Active Ratio,170 / 333 = ,0.5105
NO-RETAINED - Total No of Fundraisers (current campaign),,1699
NO-RETURNING - No of Returning Frs before previous campaign,,370
NO-RETURNING - No of Active Fundraisers,,118
NO-RETURNING - APAM (Active),128663.92 / 118 = ,1090.37
NO-RETURNING - Total Funds,,128663.92
NO-RETURNING - Active Ratio,118 / 370 = ,0.3189
NO-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1699
NO-TOTAL INDIVIDUALS - Total Active Fundraisers,,513
NO-TOTAL INDIVIDUALS - Total Funds Raised,,979421.38
NO-TEAM - No of Teams,,81
NO-TEAM - ATDD,232937.58 / 81 = ,2875.77
NO-TEAM - Total Funds,,232937.58
NO-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1699
NO-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,513
NO-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,81
NO-TOTAL PEER 2 PEER - Total Number of Active Entities,,594
NO-TOTAL PEER 2 PEER - Total Funds Raised,,1371036.19
ES-FOUNDATION & RG - No of Donations,,635
ES-FOUNDATION & RG - ADA,30045.26 / 635 = ,47.32
ES-FOUNDATION & RG - Total Funds,,30045.26
ES-NEW - No of New Fundraisers (previous campaign),,2812
ES-NEW - No of Active Fundraisers,,473
ES-NEW - APAM (Active),473 / 36766.18 = ,77.73
ES-NEW - Total Funds,,36766.18
ES-NEW - Active Ratio,473 / 2812 = ,0.1682
ES-RETAINED - No of Fundraisers (previous campaign),,6017
ES-RETAINED - Total Retained from Previous into Current,,1317
ES-RETAINED - No of Active Fundraisers,,528
ES-RETAINED - APAM (Active),90560.54 / 528 = ,171.52
ES-RETAINED - Total Funds,,90560.54
ES-RETAINED - Retained Ratio,1317 / 6017 = ,0.2189
ES-RETAINED - Active Ratio,528 / 1317 = ,0.4009
ES-RETAINED - Total No of Fundraisers (current campaign),,4683
ES-RETURNING - No of Returning Frs before previous campaign,,554
ES-RETURNING - No of Active Fundraisers,,132
ES-RETURNING - APAM (Active),12941.89 / 132 = ,98.04
ES-RETURNING - Total Funds,,12941.89
ES-RETURNING - Active Ratio,132 / 554 = ,0.2383
ES-TOTAL INDIVIDUALS - Total Number of Fundraisers,,4683
ES-TOTAL INDIVIDUALS - Total Active Fundraisers,,1133
ES-TOTAL INDIVIDUALS - Total Funds Raised,,140268.61
ES-TEAM - No of Teams,,190
ES-TEAM - ATDD,51007.61 / 190 = ,268.46
ES-TEAM - Total Funds,,51007.61
ES-TOTAL PEER 2 PEER - Total Number of Fundraisers,,4683
ES-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1133
ES-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,190
ES-TOTAL PEER 2 PEER - Total Number of Active Entities,,1323
ES-TOTAL PEER 2 PEER - Total Funds Raised,,221321.48
SE-FOUNDATION & RG - No of Donations,,403
SE-FOUNDATION & RG - ADA,190236.1 / 403 = ,472.05
SE-FOUNDATION & RG - Total Funds,,190236.1
SE-NEW - No of New Fundraisers (previous campaign),,1020
SE-NEW - No of Active Fundraisers,,251
SE-NEW - APAM (Active),251 / 263480.32 = ,1049.72
SE-NEW - Total Funds,,263480.32
SE-NEW - Active Ratio,251 / 1020 = ,0.2461
SE-RETAINED - No of Fundraisers (previous campaign),,2153
SE-RETAINED - Total Retained from Previous into Current,,278
SE-RETAINED - No of Active Fundraisers,,117
SE-RETAINED - APAM (Active),587338.92 / 117 = ,5019.99
SE-RETAINED - Total Funds,,587338.92
SE-RETAINED - Retained Ratio,278 / 2153 = ,0.1291
SE-RETAINED - Active Ratio,117 / 278 = ,0.4209
SE-RETAINED - Total No of Fundraisers (current campaign),,1493
SE-RETURNING - No of Returning Frs before previous campaign,,195
SE-RETURNING - No of Active Fundraisers,,54
SE-RETURNING - APAM (Active),69240.46 / 54 = ,1282.23
SE-RETURNING - Total Funds,,69240.46
SE-RETURNING - Active Ratio,54 / 195 = ,0.2769
SE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1493
SE-TOTAL INDIVIDUALS - Total Active Fundraisers,,422
SE-TOTAL INDIVIDUALS - Total Funds Raised,,920059.7
SE-TEAM - No of Teams,,109
SE-TEAM - ATDD,512861.0 / 109 = ,4705.15
SE-TEAM - Total Funds,,512861.0
SE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1493
SE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,422
SE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,109
SE-TOTAL PEER 2 PEER - Total Number of Active Entities,,531
SE-TOTAL PEER 2 PEER - Total Funds Raised,,1623156.8
CH-FOUNDATION & RG - No of Donations,,264
CH-FOUNDATION & RG - ADA,68848.62 / 264 = ,260.79
CH-FOUNDATION & RG - Total Funds,,68848.62
CH-NEW - No of New Fundraisers (previous campaign),,2422
CH-NEW - No of Active Fundraisers,,759
CH-NEW - APAM (Active),759 / 144963.53 = ,190.99
CH-NEW - Total Funds,,144963.53
CH-NEW - Active Ratio,759 / 2422 = ,0.3134
CH-RETAINED - No of Fundraisers (previous campaign),,2624
CH-RETAINED - Total Retained from Previous into Current,,635
CH-RETAINED - No of Active Fundraisers,,342
CH-RETAINED - APAM (Active),130643.6 / 342 = ,382.0
CH-RETAINED - Total Funds,,130643.6
CH-RETAINED - Retained Ratio,635 / 2624 = ,0.242
CH-RETAINED - Active Ratio,342 / 635 = ,0.5386
CH-RETAINED - Total No of Fundraisers (current campaign),,3382
CH-RETURNING - No of Returning Frs before previous campaign,,325
CH-RETURNING - No of Active Fundraisers,,125
CH-RETURNING - APAM (Active),24610.27 / 125 = ,196.88
CH-RETURNING - Total Funds,,24610.27
CH-RETURNING - Active Ratio,125 / 325 = ,0.3846
CH-TOTAL INDIVIDUALS - Total Number of Fundraisers,,3382
CH-TOTAL INDIVIDUALS - Total Active Fundraisers,,1226
CH-TOTAL INDIVIDUALS - Total Funds Raised,,300217.4
CH-TEAM - No of Teams,,190
CH-TEAM - ATDD,96221.22 / 190 = ,506.43
CH-TEAM - Total Funds,,96221.22
CH-TOTAL PEER 2 PEER - Total Number of Fundraisers,,3382
CH-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1226
CH-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,190
CH-TOTAL PEER 2 PEER - Total Number of Active Entities,,1416
CH-TOTAL PEER 2 PEER - Total Funds Raised,,465287.24
HK-FOUNDATION & RG - No of Donations,,59
HK-FOUNDATION & RG - ADA,62013.1 / 59 = ,1051.07
HK-FOUNDATION & RG - Total Funds,,62013.1
HK-NEW - No of New Fundraisers (previous campaign),,574
HK-NEW - No of Active Fundraisers,,248
HK-NEW - APAM (Active),248 / 888901.93 = ,3584.28
HK-NEW - Total Funds,,888901.93
HK-NEW - Active Ratio,248 / 574 = ,0.4321
HK-RETAINED - No of Fundraisers (previous campaign),,814
HK-RETAINED - Total Retained from Previous into Current,,167
HK-RETAINED - No of Active Fundraisers,,88
HK-RETAINED - APAM (Active),526038.0 / 88 = ,5977.7
HK-RETAINED - Total Funds,,526038.0
HK-RETAINED - Retained Ratio,167 / 814 = ,0.2052
HK-RETAINED - Active Ratio,88 / 167 = ,0.5269
HK-RETAINED - Total No of Fundraisers (current campaign),,845
HK-RETURNING - No of Returning Frs before previous campaign,,104
HK-RETURNING - No of Active Fundraisers,,48
HK-RETURNING - APAM (Active),177975.0 / 48 = ,3707.81
HK-RETURNING - Total Funds,,177975.0
HK-RETURNING - Active Ratio,48 / 104 = ,0.4615
HK-TOTAL INDIVIDUALS - Total Number of Fundraisers,,845
HK-TOTAL INDIVIDUALS - Total Active Fundraisers,,384
HK-TOTAL INDIVIDUALS - Total Funds Raised,,1592914.93
HK-TEAM - No of Teams,,52
HK-TEAM - ATDD,384545.0 / 52 = ,7395.1
HK-TEAM - Total Funds,,384545.0
HK-TOTAL PEER 2 PEER - Total Number of Fundraisers,,845
HK-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,384
HK-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,52
HK-TOTAL PEER 2 PEER - Total Number of Active Entities,,436
HK-TOTAL PEER 2 PEER - Total Funds Raised,,2039473.03
EX-FOUNDATION & RG - No of Donations,,1743
EX-FOUNDATION & RG - ADA,40484.83 / 1743 = ,23.23
EX-FOUNDATION & RG - Total Funds,,40484.83
EX-NEW - No of New Fundraisers (previous campaign),,3998
EX-NEW - No of Active Fundraisers,,714
EX-NEW - APAM (Active),714 / 106984.47 = ,149.84
EX-NEW - Total Funds,,106984.47
EX-NEW - Active Ratio,714 / 3998 = ,0.1786
EX-RETAINED - No of Fundraisers (previous campaign),,5636
EX-RETAINED - Total Retained from Previous into Current,,663
EX-RETAINED - No of Active Fundraisers,,186
EX-RETAINED - APAM (Active),45841.5 / 186 = ,246.46
EX-RETAINED - Total Funds,,45841.5
EX-RETAINED - Retained Ratio,663 / 5636 = ,0.1176
EX-RETAINED - Active Ratio,186 / 663 = ,0.2805
EX-RETAINED - Total No of Fundraisers (current campaign),,5079
EX-RETURNING - No of Returning Frs before previous campaign,,418
EX-RETURNING - No of Active Fundraisers,,100
EX-RETURNING - APAM (Active),19150.76 / 100 = ,191.51
EX-RETURNING - Total Funds,,19150.76
EX-RETURNING - Active Ratio,100 / 418 = ,0.2392
EX-TOTAL INDIVIDUALS - Total Number of Fundraisers,,5079
EX-TOTAL INDIVIDUALS - Total Active Fundraisers,,1000
EX-TOTAL INDIVIDUALS - Total Funds Raised,,171976.73
EX-TEAM - No of Teams,,175
EX-TEAM - ATDD,59493.79 / 175 = ,339.96
EX-TEAM - Total Funds,,59493.79
EX-TOTAL PEER 2 PEER - Total Number of Fundraisers,,5079
EX-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1000
EX-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,175
EX-TOTAL PEER 2 PEER - Total Number of Active Entities,,1175
EX-TOTAL PEER 2 PEER - Total Funds Raised,,271955.35
SG-FOUNDATION & RG - No of Donations,,97
SG-FOUNDATION & RG - ADA,10169.0 / 97 = ,104.84
SG-FOUNDATION & RG - Total Funds,,10169.0
SG-NEW - No of New Fundraisers (previous campaign),,1059
SG-NEW - No of Active Fundraisers,,245
SG-NEW - APAM (Active),245 / 103058.49 = ,420.65
SG-NEW - Total Funds,,103058.49
SG-NEW - Active Ratio,245 / 1059 = ,0.2314
SG-RETAINED - No of Fundraisers (previous campaign),,1057
SG-RETAINED - Total Retained from Previous into Current,,220
SG-RETAINED - No of Active Fundraisers,,128
SG-RETAINED - APAM (Active),82370.69 / 128 = ,643.52
SG-RETAINED - Total Funds,,82370.69
SG-RETAINED - Retained Ratio,220 / 1057 = ,0.2081
SG-RETAINED - Active Ratio,128 / 220 = ,0.5818
SG-RETAINED - Total No of Fundraisers (current campaign),,1425
SG-RETURNING - No of Returning Frs before previous campaign,,146
SG-RETURNING - No of Active Fundraisers,,57
SG-RETURNING - APAM (Active),30663.8 / 57 = ,537.96
SG-RETURNING - Total Funds,,30663.8
SG-RETURNING - Active Ratio,57 / 146 = ,0.3904
SG-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1425
SG-TOTAL INDIVIDUALS - Total Active Fundraisers,,430
SG-TOTAL INDIVIDUALS - Total Funds Raised,,216092.98
SG-TEAM - No of Teams,,68
SG-TEAM - ATDD,92212.0 / 68 = ,1356.06
SG-TEAM - Total Funds,,92212.0
SG-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1425
SG-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,430
SG-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,68
SG-TOTAL PEER 2 PEER - Total Number of Active Entities,,498
SG-TOTAL PEER 2 PEER - Total Funds Raised,,318473.98
ZA-FOUNDATION & RG - No of Donations,,169
ZA-FOUNDATION & RG - ADA,99883.0 / 169 = ,591.02
ZA-FOUNDATION & RG - Total Funds,,99883.0
ZA-NEW - No of New Fundraisers (previous campaign),,1740
ZA-NEW - No of Active Fundraisers,,373
ZA-NEW - APAM (Active),373 / 457480.47 = ,1226.49
ZA-NEW - Total Funds,,457480.47
ZA-NEW - Active Ratio,373 / 1740 = ,0.2144
ZA-RETAINED - No of Fundraisers (previous campaign),,4680
ZA-RETAINED - Total Retained from Previous into Current,,669
ZA-RETAINED - No of Active Fundraisers,,249
ZA-RETAINED - APAM (Active),701520.85 / 249 = ,2817.35
ZA-RETAINED - Total Funds,,701520.85
ZA-RETAINED - Retained Ratio,669 / 4680 = ,0.1429
ZA-RETAINED - Active Ratio,249 / 669 = ,0.3722
ZA-RETAINED - Total No of Fundraisers (current campaign),,2946
ZA-RETURNING - No of Returning Frs before previous campaign,,537
ZA-RETURNING - No of Active Fundraisers,,112
ZA-RETURNING - APAM (Active),205512.27 / 112 = ,1834.93
ZA-RETURNING - Total Funds,,205512.27
ZA-RETURNING - Active Ratio,112 / 537 = ,0.2086
ZA-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2946
ZA-TOTAL INDIVIDUALS - Total Active Fundraisers,,734
ZA-TOTAL INDIVIDUALS - Total Funds Raised,,1364513.59
ZA-TEAM - No of Teams,,115
ZA-TEAM - ATDD,685186.0 / 115 = ,5958.14
ZA-TEAM - Total Funds,,685186.0
ZA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2946
ZA-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,734
ZA-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,115
ZA-TOTAL PEER 2 PEER - Total Number of Active Entities,,849
ZA-TOTAL PEER 2 PEER - Total Funds Raised,,2149582.59
