finance_measure,formula,result
NO-RETAINED - Retained Ratio,553 / 3276 = ,0.1688
NO-RETAINED - Active Ratio,298 / 553 = ,0.5389
NO-RETAINED - Total No of Fundraisers (current campaign),,2210
NO-RETURNING - No of Returning Frs before previous campaign,,432
NO-RETURNING - No of Active Fundraisers,,178
NO-RETURNING - APAM (Active),189812.23 / 178 = ,1066.36
NO-RETURNING - Total Funds,,189812.23
NO-RETURNING - Active Ratio,178 / 432 = ,0.412
NO-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2210
NO-TOTAL INDIVIDUALS - Total Active Fundraisers,,971
NO-TOTAL INDIVIDUALS - Total Funds Raised,,1469819.7
NO-TEAM - No of Teams,,110
NO-TEAM - ATDD,390445.85 / 110 = ,3549.51
NO-TEAM - Total Funds,,390445.85
NO-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2210
NO-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,971
NO-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,110
NO-TOTAL PEER 2 PEER - Total Number of Active Entities,,1081
NO-TOTAL PEER 2 PEER - Total Funds Raised,,2111998.88
ES-FOUNDATION & RG - No of Donations,,549
ES-FOUNDATION & RG - ADA,51233.86 / 549 = ,93.32
ES-FOUNDATION & RG - Total Funds,,51233.86
ES-NEW - No of New Fundraisers (previous campaign),,3680
ES-NEW - No of Active Fundraisers,,1337
ES-NEW - APAM (Active),1337 / 89626.23 = ,67.04
ES-NEW - Total Funds,,89626.23
ES-NEW - Active Ratio,1337 / 3680 = ,0.3633
ES-RETAINED - No of Fundraisers (previous campaign),,6060
ES-RETAINED - Total Retained from Previous into Current,,1437
ES-RETAINED - No of Active Fundraisers,,950
ES-RETAINED - APAM (Active),130234.55 / 950 = ,137.09
ES-RETAINED - Total Funds,,130234.55
ES-RETAINED - Retained Ratio,1437 / 6060 = ,0.2371
ES-RETAINED - Active Ratio,950 / 1437 = ,0.6611
ES-RETAINED - Total No of Fundraisers (current campaign),,5628
ES-RETURNING - No of Returning Frs before previous campaign,,511
ES-RETURNING - No of Active Fundraisers,,188
ES-RETURNING - APAM (Active),16116.86 / 188 = ,85.73
ES-RETURNING - Total Funds,,16116.86
ES-RETURNING - Active Ratio,188 / 511 = ,0.3679
ES-TOTAL INDIVIDUALS - Total Number of Fundraisers,,5628
ES-TOTAL INDIVIDUALS - Total Active Fundraisers,,2475
ES-TOTAL INDIVIDUALS - Total Funds Raised,,235977.64
ES-TEAM - No of Teams,,166
ES-TEAM - ATDD,27045.25 / 166 = ,162.92
ES-TEAM - Total Funds,,27045.25
ES-TOTAL PEER 2 PEER - Total Number of Fundraisers,,5628
ES-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,2475
ES-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,166
ES-TOTAL PEER 2 PEER - Total Number of Active Entities,,2641
ES-TOTAL PEER 2 PEER - Total Funds Raised,,314256.75
SE-FOUNDATION & RG - No of Donations,,299
SE-FOUNDATION & RG - ADA,316683.1 / 299 = ,1059.14
SE-FOUNDATION & RG - Total Funds,,316683.1
SE-NEW - No of New Fundraisers (previous campaign),,1721
SE-NEW - No of Active Fundraisers,,737
SE-NEW - APAM (Active),737 / 426370.56 = ,578.52
SE-NEW - Total Funds,,426370.56
SE-NEW - Active Ratio,737 / 1721 = ,0.4282
SE-RETAINED - No of Fundraisers (previous campaign),,3160
SE-RETAINED - Total Retained from Previous into Current,,584
SE-RETAINED - No of Active Fundraisers,,353
SE-RETAINED - APAM (Active),703958.64 / 353 = ,1994.22
SE-RETAINED - Total Funds,,703958.64
SE-RETAINED - Retained Ratio,584 / 3160 = ,0.1848
SE-RETAINED - Active Ratio,353 / 584 = ,0.6045
SE-RETAINED - Total No of Fundraisers (current campaign),,2596
SE-RETURNING - No of Returning Frs before previous campaign,,291
SE-RETURNING - No of Active Fundraisers,,113
SE-RETURNING - APAM (Active),106155.99 / 113 = ,939.43
SE-RETURNING - Total Funds,,106155.99
SE-RETURNING - Active Ratio,113 / 291 = ,0.3883
SE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2596
SE-TOTAL INDIVIDUALS - Total Active Fundraisers,,1203
SE-TOTAL INDIVIDUALS - Total Funds Raised,,1236485.19
SE-TEAM - No of Teams,,167
SE-TEAM - ATDD,757420.06 / 167 = ,4535.45
SE-TEAM - Total Funds,,757420.06
SE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2596
SE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1203
SE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,167
SE-TOTAL PEER 2 PEER - Total Number of Active Entities,,1370
SE-TOTAL PEER 2 PEER - Total Funds Raised,,2310588.35
CH-FOUNDATION & RG - No of Donations,,161
CH-FOUNDATION & RG - ADA,38143.46 / 161 = ,236.92
CH-FOUNDATION & RG - Total Funds,,38143.46
CH-NEW - No of New Fundraisers (previous campaign),,1570
CH-NEW - No of Active Fundraisers,,832
CH-NEW - APAM (Active),832 / 143326.18 = ,172.27
CH-NEW - Total Funds,,143326.18
CH-NEW - Active Ratio,832 / 1570 = ,0.5299
CH-RETAINED - No of Fundraisers (previous campaign),,2427
CH-RETAINED - Total Retained from Previous into Current,,616
CH-RETAINED - No of Active Fundraisers,,459
CH-RETAINED - APAM (Active),141633.33 / 459 = ,308.57
CH-RETAINED - Total Funds,,141633.33
CH-RETAINED - Retained Ratio,616 / 2427 = ,0.2538
CH-RETAINED - Active Ratio,459 / 616 = ,0.7451
CH-RETAINED - Total No of Fundraisers (current campaign),,2433
CH-RETURNING - No of Returning Frs before previous campaign,,247
CH-RETURNING - No of Active Fundraisers,,126
CH-RETURNING - APAM (Active),22416.92 / 126 = ,177.91
CH-RETURNING - Total Funds,,22416.92
CH-RETURNING - Active Ratio,126 / 247 = ,0.5101
CH-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2433
CH-TOTAL INDIVIDUALS - Total Active Fundraisers,,1417
CH-TOTAL INDIVIDUALS - Total Funds Raised,,307376.43
CH-TEAM - No of Teams,,90
CH-TEAM - ATDD,56344.75 / 90 = ,626.05
CH-TEAM - Total Funds,,56344.75
CH-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2433
CH-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1417
CH-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,90
CH-TOTAL PEER 2 PEER - Total Number of Active Entities,,1507
CH-TOTAL PEER 2 PEER - Total Funds Raised,,401864.64
HK-FOUNDATION & RG - No of Donations,,40
HK-FOUNDATION & RG - ADA,104211.7 / 40 = ,2605.29
HK-FOUNDATION & RG - Total Funds,,104211.7
HK-NEW - No of New Fundraisers (previous campaign),,465
HK-NEW - No of Active Fundraisers,,252
HK-NEW - APAM (Active),252 / 583238.93 = ,2314.44
HK-NEW - Total Funds,,583238.93
HK-NEW - Active Ratio,252 / 465 = ,0.5419
HK-RETAINED - No of Fundraisers (previous campaign),,614
HK-RETAINED - Total Retained from Previous into Current,,121
HK-RETAINED - No of Active Fundraisers,,84
HK-RETAINED - APAM (Active),687005.85 / 84 = ,8178.64
HK-RETAINED - Total Funds,,687005.85
HK-RETAINED - Retained Ratio,121 / 614 = ,0.1971
HK-RETAINED - Active Ratio,84 / 121 = ,0.6942
HK-RETAINED - Total No of Fundraisers (current campaign),,657
HK-RETURNING - No of Returning Frs before previous campaign,,71
HK-RETURNING - No of Active Fundraisers,,27
HK-RETURNING - APAM (Active),68833.26 / 27 = ,2549.38
HK-RETURNING - Total Funds,,68833.26
HK-RETURNING - Active Ratio,27 / 71 = ,0.3803
HK-TOTAL INDIVIDUALS - Total Number of Fundraisers,,657
HK-TOTAL INDIVIDUALS - Total Active Fundraisers,,363
HK-TOTAL INDIVIDUALS - Total Funds Raised,,1339078.04
HK-TEAM - No of Teams,,42
HK-TEAM - ATDD,517388.4 / 42 = ,12318.77
HK-TEAM - Total Funds,,517388.4
HK-TOTAL PEER 2 PEER - Total Number of Fundraisers,,657
HK-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,363
HK-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,42
HK-TOTAL PEER 2 PEER - Total Number of Active Entities,,405
HK-TOTAL PEER 2 PEER - Total Funds Raised,,1960678.14
EX-FOUNDATION & RG - No of Donations,,1369
EX-FOUNDATION & RG - ADA,125915.02 / 1369 = ,91.98
EX-FOUNDATION & RG - Total Funds,,125915.02
EX-NEW - No of New Fundraisers (previous campaign),,3879
EX-NEW - No of Active Fundraisers,,659
EX-NEW - APAM (Active),659 / 74337.13 = ,112.8
EX-NEW - Total Funds,,74337.13
EX-NEW - Active Ratio,659 / 3879 = ,0.1699
EX-RETAINED - No of Fundraisers (previous campaign),,4976
EX-RETAINED - Total Retained from Previous into Current,,608
EX-RETAINED - No of Active Fundraisers,,239
EX-RETAINED - APAM (Active),38005.69 / 239 = ,159.02
EX-RETAINED - Total Funds,,38005.69
EX-RETAINED - Retained Ratio,608 / 4976 = ,0.1222
EX-RETAINED - Active Ratio,239 / 608 = ,0.3931
EX-RETAINED - Total No of Fundraisers (current campaign),,4834
EX-RETURNING - No of Returning Frs before previous campaign,,347
EX-RETURNING - No of Active Fundraisers,,88
EX-RETURNING - APAM (Active),15601.48 / 88 = ,177.29
EX-RETURNING - Total Funds,,15601.48
EX-RETURNING - Active Ratio,88 / 347 = ,0.2536
EX-TOTAL INDIVIDUALS - Total Number of Fundraisers,,4834
EX-TOTAL INDIVIDUALS - Total Active Fundraisers,,986
EX-TOTAL INDIVIDUALS - Total Funds Raised,,127944.3
EX-TEAM - No of Teams,,139
EX-TEAM - ATDD,60408.92 / 139 = ,434.6
EX-TEAM - Total Funds,,60408.92
EX-TOTAL PEER 2 PEER - Total Number of Fundraisers,,4834
EX-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,986
EX-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,139
EX-TOTAL PEER 2 PEER - Total Number of Active Entities,,1125
EX-TOTAL PEER 2 PEER - Total Funds Raised,,314268.24
SG-FOUNDATION & RG - No of Donations,,86
SG-FOUNDATION & RG - ADA,6596.29 / 86 = ,76.7
SG-FOUNDATION & RG - Total Funds,,6596.29
SG-NEW - No of New Fundraisers (previous campaign),,665
SG-NEW - No of Active Fundraisers,,316
SG-NEW - APAM (Active),316 / 131002.89 = ,414.57
SG-NEW - Total Funds,,131002.89
SG-NEW - Active Ratio,316 / 665 = ,0.4752
SG-RETAINED - No of Fundraisers (previous campaign),,794
SG-RETAINED - Total Retained from Previous into Current,,160
SG-RETAINED - No of Active Fundraisers,,98
SG-RETAINED - APAM (Active),78236.72 / 98 = ,798.33
SG-RETAINED - Total Funds,,78236.72
SG-RETAINED - Retained Ratio,160 / 794 = ,0.2015
SG-RETAINED - Active Ratio,98 / 160 = ,0.6125
SG-RETAINED - Total No of Fundraisers (current campaign),,934
SG-RETURNING - No of Returning Frs before previous campaign,,109
SG-RETURNING - No of Active Fundraisers,,62
SG-RETURNING - APAM (Active),59506.32 / 62 = ,959.78
SG-RETURNING - Total Funds,,59506.32
SG-RETURNING - Active Ratio,62 / 109 = ,0.5688
SG-TOTAL INDIVIDUALS - Total Number of Fundraisers,,934
SG-TOTAL INDIVIDUALS - Total Active Fundraisers,,476
SG-TOTAL INDIVIDUALS - Total Funds Raised,,268745.93
SG-TEAM - No of Teams,,56
SG-TEAM - ATDD,48321.3 / 56 = ,862.88
SG-TEAM - Total Funds,,48321.3
SG-TOTAL PEER 2 PEER - Total Number of Fundraisers,,934
SG-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,476
SG-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,56
SG-TOTAL PEER 2 PEER - Total Number of Active Entities,,532
SG-TOTAL PEER 2 PEER - Total Funds Raised,,323663.52
ZA-FOUNDATION & RG - No of Donations,,173
ZA-FOUNDATION & RG - ADA,135567.37 / 173 = ,783.63
ZA-FOUNDATION & RG - Total Funds,,135567.37
ZA-NEW - No of New Fundraisers (previous campaign),,3279
ZA-NEW - No of Active Fundraisers,,886
ZA-NEW - APAM (Active),886 / 892676.49 = ,1007.54
ZA-NEW - Total Funds,,892676.49
ZA-NEW - Active Ratio,886 / 3279 = ,0.2702
ZA-RETAINED - No of Fundraisers (previous campaign),,7625
ZA-RETAINED - Total Retained from Previous into Current,,884
ZA-RETAINED - No of Active Fundraisers,,372
ZA-RETAINED - APAM (Active),947814.85 / 372 = ,2547.89
ZA-RETAINED - Total Funds,,947814.85
ZA-RETAINED - Retained Ratio,884 / 7625 = ,0.1159
ZA-RETAINED - Active Ratio,372 / 884 = ,0.4208
ZA-RETAINED - Total No of Fundraisers (current campaign),,4839
ZA-RETURNING - No of Returning Frs before previous campaign,,676
ZA-RETURNING - No of Active Fundraisers,,206
ZA-RETURNING - APAM (Active),249309.22 / 206 = ,1210.24
ZA-RETURNING - Total Funds,,249309.22
ZA-RETURNING - Active Ratio,206 / 676 = ,0.3047
ZA-TOTAL INDIVIDUALS - Total Number of Fundraisers,,4839
ZA-TOTAL INDIVIDUALS - Total Active Fundraisers,,1464
ZA-TOTAL INDIVIDUALS - Total Funds Raised,,2089800.56
ZA-TEAM - No of Teams,,204
ZA-TEAM - ATDD,402831.8 / 204 = ,1974.67
ZA-TEAM - Total Funds,,402831.8
ZA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,4839
ZA-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1464
ZA-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,204
ZA-TOTAL PEER 2 PEER - Total Number of Active Entities,,1668
ZA-TOTAL PEER 2 PEER - Total Funds Raised,,2628199.73
